,data,label
0,"지금 죽여달라고 애원하는거야? 아니요 . 죄송합니다 . 죽으려면 혼자 죽으면 된다. 우리도 사건에 휘말리게 할까요? 난 정말 당신을 죽이고 싶어요. 나는 정말로 틀렸다. 당신은 당신이 죽을 것인가, 당신의 가족을 죽일 것인가? 죄송합니다 . 나는 정말로 틀렸다. you don't have a choice 선택하지 않으면 너와 네 가족을 모두 죽이겠다. 고를 수가 없네요 한번만 도와주세요. 모두 죽여야만 합니다. 이의가 없습니까? 도와주세요 .",0
1,길동경찰서. Hour Boon Mart에 폭발물을 설치하려고 합니다. 예 ? 똑바로 듣고 한 번 더 말해 보세요. 장난 전화를 걸지 마십시오. Hour Minute Mart에서 폭발물이 폭발하면 모두 사망합니다. 장난전화는 업무방해죄입니다. 판단은 당신에게 달려 있습니다. 길동경찰서에서 폭발물이 터지면 꽤 재미있을 것 같습니다. 진정하세요 선생님 제가 얘기했어요 제 말은 경고했어요.,0
2,당신이 너무 귀여운 거 알아 나보다 작은 사람을 본 적이 없어. 멈추다 . 너희들을 놀리는 건 재미없어. 지영아 너 키 커? 그럼 당신은 그것을 측정할 수 없습니다? 군대 안가길 바랍니다. 너희들은 내가 어렸을 때 나에게 뭔가를 추가 했습니까? 드워프들도 결혼을 한다고 합니다. 당신도 바랍니다. 더 이상 하지 마세요. 키쿠 수술 안했어? 어머니는 그렇게 하지 않으세요? 나한테 그랬어 어떻게 그 키로 살아? 저를 괴롭히지 말아주세요!,3
3,"이봐 거기 그래? ? 당신 을 의미 합니까 당신 이 무슨 말씀 이세요 ? 당신은 옷을 좋아합니까 그는 약간의 돈이 있어야합니다. 아니요 . 나는 돈이 없다. 찾으면 죽습니다. 오늘 피시방 통화? 부르다 . 이것은 당신의 마지막 기회입니다. 당신이 가진 모든 것을 내게 주세요, 나는 정말로 그것을 가지고 있지 않습니다",1
4,"야, 혹시 너무 덥지? 우리 회사는 이 자외선 차단제를 판매합니다. 손등에 사용해 보시겠습니까? 오, 진짜 ? 선크림이 필요해서 계속 찾고있는데 한번 써볼게요! 여기 한번 해보세요. 진짜 재료도 좋고 다 좋아요. 흠 . 성분이 좋다고 해서 좋은 것 같은데 제 피부에는 잘 안맞는 것 같아요. 피부가 가렵습니다. 이번에 정말 열심히 연구해서 만들었는데 피부가 많이 예민하신가봐요 . 네 저는 매우 예민합니다. 그러니 많이 파고들고 안녕히 계십시오. 아니 이봐, 돈 가이드? 예 ? 적용하려면 비용을 지불해야 하나요? 그래서 이걸 누구한테 파는거야? 당신은 무엇을 올바르게합니까? 아니, 먼저 적용하라고 했잖아. 먼저 추천하고 나서 강제로 구매하는 것이 강탈인거 모르시나요? 내가 사지 말라고 한 적 있어? 그걸 몰라서 누구 책임이지? 빨리 사서 맞는 것을 사야 합니다. 정말 어리석은 일이기 때문에 다른 사람을 이렇게 갈취하지 마십시오. 나는 화가 해요",1
5,"이틀 후에 가나에 있는 레스토랑을 예약해 주세요. 저녁시. 캐나다 음식점입니다. ? 뭐 . 남자친구 부모님께 인사드리러 가는데 거기 예약하기가 좀 힘드시죠? 그러니 수진아, 나 좀 해줘. 나 . 관리자 . 저도 월말에 프로젝트로 바쁩니다. 죄송합니다 . 사회생활을 안한게 너무 보여지는거아님? 프로젝트를 잘 수행하면 어떻게 합니까? 상사에게 잘 보여야 해! 하지만 팀 프로젝트이기 때문에 이번에는 . 정말 이상하게 얘기하는거야? 이 시간 ? 내가 왜 매일 이런 심부름을 하고 있지? 무엇 ? ! 아니요 . 제가 실수를 . 말씀하신 예약 꼭 하도록 하겠습니다. 이렇게 해도 욕먹을꺼야! yes yes yes 라고 한번에 말해도 괜찮을까요? ! 죄송합니다 . 괜찮은 .",2
6,"두 번째 고객에게는 아이스 커피 두 잔이 제공되었습니다. 아이스 커피? 네, 맛있게 드세요. 아, 오늘 더워서 아이스크림을 주문하셨군요. 내가 그랬어? 분명히 4개. 난 그런거 하나도 기억안나? 여주가 잘못한거 아니야? 아니요 . 오늘 고객님은 첫주문이라 확실히 기억하고 있습니다 아주머니. 유리 없이 연기하는 이유는? . 예 ? . 으 유도는 없고 그냥 마실게",3
7,"경비원이 내 차에 경고를 넣었다고? 여기 몇년째 살고 있는데도 아직도 내차인줄 모르고 이렇게 경고문을 붙인다? 지정주차장이 아닌 통로에 주민들이 계속 주차를 하고 있고, 주민들의 민원이 계속 들어오고 있습니다. 거기에 내가 항상 넣어두는 곳이 없기 때문입니다. 내 차는 어떻게 이럴까요? 비용이 얼마인지 아세요? 인터폰을 수차례 주고 경고문을 띄웠으나 며칠째 같은 증상이어서 아파트 이용규칙을 따를 수밖에 없었다. 차를 청소하고 세차한다고 바로 할 수는 없습니다. 내가 지불한 관리비를 지급받는 주체란 무엇을 의미하는가? 붙지 않았으면 좋겠습니다. 나는 지금 거기에 갈거야! 너무 많이 말하는 거 아니야? 기다려. 이름이 뭐에요? 지금 가면 끝",3
8,"할인이 된다고 들었습니다. 제가 그것을 확인해 보겠습니다. 이전에 그 사람이 할인을 해주었다. 예, 그 고객은 고객입니다. 고객을 차별하고 있습니까? 평가 시스템을 운영하기 때문입니다. 관리자에게 전화하십시오.",3
9,메일로 보내주신 세금계산서와 금액이 다른가요? 그건 . 얼마나 먹었니 괜찮아? 다른 모든 회사도 마찬가지입니다. 회사에는 비밀로 해주세요. yes yes 그런데 꼭 진심을 보여야 하나요? 어느 정도 . 당신은 페이지를 생각하십니까? 많이 먹었는데 그것으로 충분할까? 너무하네 그러면 김 위원장에게 직접 말할 수밖에 없다. 그리고 이것도 국세청으로 가는거 아시죠? 기한을 더 주세요.,1
10,"나는 당신에게 무엇을 얻을 수 있습니다 ? 말보로 레드 하나. 예 . 여기 있습니다! 여기 사장님 없나요? 네, 선생님, 지금 여기 계시지 않습니다. 무엇 . 지금부터 잘 들어보세요. 여기 주머니에 돈을 모두 넣으십시오. 예 ? ? 왜 이러세요! ! 닥쳐 사람들이 오기 전에 어서 돈을 쓸어버려. . 저를 구해주세요. 예 . 여기 있습니다. 이것보다 빨리 드릴께요 . 경찰에 신고하면 알지?",1
11,"오늘 도대체 뭐했어? 나는 창고를 청소하고 바닥을 청소했습니다. 이게 당신이 한 일입니까? 네, 열심히 했습니다. 왜 이것을 복사하지 않았습니까? 미리 하라고 하지 않으셨어요. 아까도 말했지만 듣지 않았다. 당신은 귀입니까? 아니요 . 지금 바로 할게요. 신선한 물을 얻으십시오. 내가 이거 먹으라고 했지? 죄송합니다",2
12,"무슨 일로 날 불렀어? 지우개를 훔쳤다고 아이들 앞에서 우리 아이를 모욕했습니까? 그런것도 아니고 딸아이가 한두번 훔친게 아니라 여러번 훔친걸로 확인되서 경찰에 신고하면 너무 심할거같아서 혼났어요. 아니, 그 모퉁이 가게는 얼마예요? 내 아이가 항상 그것을 훔쳐간 게 확실해? 예, 아이들을 몇 명 본 적이 있는데 확실히 끝났습니다. 우리 아이는 울면서 학교를 떠났습니다. 이것에 대비하는 것이 좋을 것입니다. 우리 아이도 끌어들이지 마세요. 우리 아이도 울면서 들어왔는데 그냥 넘어가면 안되고 죽여버리겠습니다. 이러지 마. 나도 곤경에 처했다. 나는 교육에 대해 한 마디만 했다.",0
