,data,label
0,"지금 죽여달라고 간청하는 거야? 아니. 죄송합니다. 죽기 위해서는 혼자 죽으면 좋다. 우리도 사건에 휘말리나요? 정말 당신을 죽이고 싶습니다. 난 정말 잘못했다. 당신은 당신이 죽거나 가족을 죽일 것인가? 죄송합니다. 난 정말 잘못했다. you don't have a choice 선택하지 않으면, 당신과 당신의 가족을 모두 죽입니다. 선택할 수 없습니다. 한 번만 도와주세요. 모두 죽여야 합니다. 이의가 없습니까? 도와주세요.",0
1,요시토 경찰서. Hour Boon Mart에 폭발물을 설치하려고합니다. 예? 똑바로 듣고 다시 말해주세요. 장난 전화를 걸지 마십시오. Hour Minute Mart에서 폭발물이 폭발하면 모든 것이 사망합니다. 장난 전화는 업무 방해 죄입니다. 판단은 당신에게 달려 있습니다. 요시토 경찰서에서 폭발물이 튀어나오면 꽤 재미있을 것 같습니다. 진정해주세요 선생님 제가 말했던 내 말은 경고했습니다.,0
2,너는 너무 귀엽다는 것을 아는 나보다 작은 사람을 본 적이 없다. 중지합니다. 당신을 놀리는 것은 흥미롭지 않습니다. 지영아아 키가 크니? 그렇다면 측정할 수 없습니까? 군대에 가지 마라. 내가 어렸을 때 무언가를 추가했나요? 드워프들도 결혼을 한다고 합니다. 너도 바란다. 더 이상하지 마십시오. 킥 수술하지 않았어? 어머니는 그렇지 않습니까? 내가 한 일은 어떻게 그 열쇠로 살아야합니까? 나를 괴롭히지 마라!,3
3,"이봐, 거기? ? 무슨 뜻입니까? 당신은 옷을 좋아합니까, 그는 조금 돈이 필요합니다. 아니. 돈이 없다 찾아내면 죽는다. 오늘 물고기 방 통화? 부른다. 이것은 당신의 마지막 기회입니다. 네가 갖고 있는 모든 것을 줘, 난 정말 없어",1
4,"그래, 너 너무 덥지? 우리의 회사는 이 자외선 차단제를 판매합니다. 손등에 사용해 보시겠습니까? 아, 사실이야? 자외선 차단제가 필요하므로 찾고 있습니다만, 한 번 사용해 보겠습니다! 여기서 한 번 시도해 보세요. 진짜 재료도 좋고 좋습니다. 흠. 성분이 좋다고 말해도 좋은 것 같습니다만, 내 피부에 잘 맞지 않는 것 같습니다. 피부가 가려워집니다. 이번에는 정말 열심히 연구해서 만들었는데 피부가 많이 민감하네요. 예, 나는 매우 민감합니다. 그래서 많이 파고 안녕. 아니오, 돈 가이드? 예? 적용하려면 비용을 지불해야 합니까? 그럼 이걸 누구에게 팔아? 당신은 무엇을 바르게 할 것인가? 아니요, 먼저 적용하라고 말했습니다. 우선 추천하고 나서 강제적으로 구입하는 것이 강탈인지 모르겠습니까? 사지 않는다고 말한 적이 있습니까? 그것을 모르기 때문에 누구의 책임입니까? 빨리 사서 올바른 물건을 사야합니다. 정말 어리석은 일이므로 다른 사람을 이렇게 싸우지 마십시오. 나는 화가났다.",1
5,"이틀 후에 가나 레스토랑을 예약해 보십시오. 저녁에. 캐나다 레스토랑입니다. ? 음. 남자친구 부모님께 인사하러 가는데 그곳에 예약하기가 조금 어려운가요? 그러니까 수진아, 날 해주세요. 나. 관리자. 저도 월말에 프로젝트로 바뀝니다. 죄송합니다. 사회생활을 하지 않은 것이 너무 보이지 않습니까? 프로젝트를 성공적으로 실행하면 어떻게 됩니까? 상사에게 잘 보아야 한다! 그러나 팀 프로젝트이므로 이번에는. 정말 이상하게 말하고 있니? 이 시간? 왜 매일 이런 종류의 사용을하고 있습니까? 무엇? ! 아니. 나는 실수를. 말씀하신 예약을 반드시 하겠습니다. 이렇게 해도 욕심이야! yes yes yes라고 한 번에 말해도 괜찮습니까? ! 죄송합니다. 괜찮아.",2
6,"두 번째 손님에게는 2 잔의 아이스 커피를 준비했습니다. 아이스 커피? 네, 맛있게 드세요. 오, 오늘 뜨겁고 아이스크림을 주문했습니다. 그랬어? 분명히 네. 나는 그런 일을 기억하지 않습니까? 여주인이 잘못 됐니? 아니. 오늘 고객은 첫 주문이라고 확실히 기억합니다 할머니. 유리없이 연기하는 이유는? . 예? . 유도가 없습니다.",3
7,"경비원이 내 차에 경고를 넣어? 최근 몇년째 살고 있는데 아직도 내차인지 모르고, 이렇게 경고문을 붙인다? 지정 주차장이 아니라 통로에 주민이 주차를 계속하고 있어, 주민의 불만이 계속 들어가 있습니다. 거기에 내가 항상 넣어두는 곳이 없기 때문입니다. 내 차는 어때? 비용은 얼마입니까? 인터폰을 몇 차례 주고 경고문을 띄웠지만 며칠째와 같은 증상으로 아파트 이용 규칙에 따를 수밖에 없었다. 차를 청소하고 세차하면 바로 할 수 없습니다. 내가 지불한 관리비를 지불하는 주체는 무슨 뜻인가요? 붙지 않으면 좋네요. 나는 지금 거기에 갈거야! 별로 말하지 않니? 기다려주세요. 이름은 무엇입니까? 지금 가면 끝",3
8,"할인이 된다고 들었습니다. 나는 그것을 확인하자. 이전에 그 사람이 할인을 해줬다. 네, 그 고객은 고객입니다. 고객을 차별하고 있습니까? 평가 시스템을 운영하고 있기 때문입니다. 관리자에게 전화하십시오.",3
9,이메일로 보낸 세금계산서와 금액이 다른가요? 그것은. 얼마나 먹었습니까? 다른 모든 회사도 동일합니다. 회사에게는 비밀을 유지하십시오. yes yes 하지만 정말 진짜를 보아야 합니까? 어느 정도. 페이지를 생각하고 있습니까? 많이 먹었는데 충분할까요? 너무 그렇다면 김 위원장에게 직접 말할 수밖에 없다. 그리고 이것도 국세청에 가는 것을 아십니까? 마감일을 더 주세요.,1
